/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
109.252.64.186 - - [14/May/2025:16:37:05 +0000] "GET / HTTP/1.1" 200 2287 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:05 +0000] "GET /static/css/logreg.css HTTP/1.1" 200 7457 "https://yumlschool.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:07 +0000] "GET /register/ HTTP/1.1" 200 9504 "https://yumlschool.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:07 +0000] "GET /static/css/logreg.css HTTP/1.1" 304 0 "https://yumlschool.ru/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
172.28.0.1 - - [14/May/2025:16:37:17 +0000] "GET /api/Users HTTP/1.1" 200 12 "-" "python-requests/2.32.3"
172.28.0.1 - - [14/May/2025:16:37:17 +0000] "POST /api/Users HTTP/1.1" 201 255 "-" "python-requests/2.32.3"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "POST /register/ HTTP/1.1" 302 0 "https://yumlschool.ru/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /admin/ HTTP/1.1" 200 11840 "https://yumlschool.ru/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/css/base.css HTTP/1.1" 200 12575 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/css/AdminPanel.css HTTP/1.1" 200 5469 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/css/CreateTest.css HTTP/1.1" 200 20315 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/css/PracticalWork.css HTTP/1.1" 200 17640 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/css/TestEditor.css HTTP/1.1" 200 2630 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:17 +0000] "GET /static/js/confirmations.js HTTP/1.1" 200 7897 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:23 +0000] "POST /logout/ HTTP/1.1" 302 0 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:23 +0000] "GET / HTTP/1.1" 200 2287 "https://yumlschool.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:23 +0000] "GET /static/css/logreg.css HTTP/1.1" 304 0 "https://yumlschool.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
77.110.105.199 - - [14/May/2025:16:37:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:37:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
109.252.64.186 - - [14/May/2025:16:37:25 +0000] "GET /register/ HTTP/1.1" 200 9504 "https://yumlschool.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:25 +0000] "GET /static/css/logreg.css HTTP/1.1" 304 0 "https://yumlschool.ru/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:58 +0000] "GET /api HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:37:58 +0000] "GET /api/ HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:38:01 +0000] "GET /api/ HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
77.110.105.199 - - [14/May/2025:16:38:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:38:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
109.252.64.186 - - [14/May/2025:16:38:44 +0000] "GET / HTTP/1.1" 200 2287 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
109.252.64.186 - - [14/May/2025:16:38:44 +0000] "GET /static/css/logreg.css HTTP/1.1" 304 0 "https://yumlschool.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
172.28.0.1 - - [14/May/2025:16:38:48 +0000] "GET /api/Users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
